{'epoch': 61, 'iter': 352, 'loss': 0.11934840679168701, 'loss_fs': 0.11905168741941452, 'loss_cls': 8.344644584212801e-07, 'loss_cap': 0.02958819828927517}
{'epoch': 62, 'iter': 352, 'loss': 0.05205123871564865, 'loss_fs': 0.05186430364847183, 'loss_cls': 7.911096327006817e-05, 'loss_cap': 0.010782333090901375}
{'epoch': 63, 'iter': 352, 'loss': 0.09289872646331787, 'loss_fs': 0.09277515858411789, 'loss_cls': 3.9217749872477725e-05, 'loss_cap': 0.008435080759227276}
{'epoch': 64, 'iter': 352, 'loss': 0.12282459437847137, 'loss_fs': 0.12044864892959595, 'loss_cls': 0.0023179370909929276, 'loss_cap': 0.005800997372716665}
{'epoch': 65, 'iter': 352, 'loss': 0.10831616818904877, 'loss_fs': 0.1074656993150711, 'loss_cls': 0.0007853626739233732, 'loss_cap': 0.006510482169687748}
{'epoch': 66, 'iter': 352, 'loss': 0.1809787154197693, 'loss_fs': 0.1806391328573227, 'loss_cls': 0.00013186133583076298, 'loss_cap': 0.02077225036919117}
{'epoch': 67, 'iter': 352, 'loss': 0.07119176536798477, 'loss_fs': 0.07098989188671112, 'loss_cls': 0.0001615413639228791, 'loss_cap': 0.004032871685922146}
{'epoch': 68, 'iter': 352, 'loss': 0.0908779501914978, 'loss_fs': 0.09014372527599335, 'loss_cls': 0.0006500783492811024, 'loss_cap': 0.008414325304329395}
{'epoch': 69, 'iter': 352, 'loss': 0.10117531567811966, 'loss_fs': 0.1002136841416359, 'loss_cls': 0.000904983258806169, 'loss_cap': 0.005664977245032787}
{'epoch': 70, 'iter': 352, 'loss': 0.053755488246679306, 'loss_fs': 0.04647813364863396, 'loss_cls': 1.5417432223330252e-05, 'loss_cap': 0.7261936068534851}
{'epoch': 71, 'iter': 352, 'loss': 0.04792683944106102, 'loss_fs': 0.047635629773139954, 'loss_cls': 0.00026652778615243733, 'loss_cap': 0.0024681612849235535}
{'epoch': 72, 'iter': 352, 'loss': 0.028111150488257408, 'loss_fs': 0.027990711852908134, 'loss_cls': 5.256917211227119e-05, 'loss_cap': 0.006786858197301626}
{'epoch': 73, 'iter': 352, 'loss': 0.0839378759264946, 'loss_fs': 0.08311042934656143, 'loss_cls': 0.0007646695012226701, 'loss_cap': 0.006277920212596655}
{'epoch': 74, 'iter': 352, 'loss': 0.1467454731464386, 'loss_fs': 0.14624705910682678, 'loss_cls': 0.00024140668392647058, 'loss_cap': 0.025700321421027184}
{'epoch': 75, 'iter': 352, 'loss': 0.07680922001600266, 'loss_fs': 0.07622584700584412, 'loss_cls': 0.0005563081940636039, 'loss_cap': 0.0027070834767073393}
{'epoch': 76, 'iter': 352, 'loss': 0.09536384046077728, 'loss_fs': 0.09525904804468155, 'loss_cls': 8.077593520283699e-05, 'loss_cap': 0.002401006408035755}
{'epoch': 77, 'iter': 352, 'loss': 0.7801085710525513, 'loss_fs': 0.7798519730567932, 'loss_cls': 0.00016278687689919025, 'loss_cap': 0.009383688680827618}
{'epoch': 78, 'iter': 352, 'loss': 0.07811035960912704, 'loss_fs': 0.07765589654445648, 'loss_cls': 0.0004196267400402576, 'loss_cap': 0.003483531530946493}
{'epoch': 79, 'iter': 352, 'loss': 0.11170005798339844, 'loss_fs': 0.11150949448347092, 'loss_cls': 0.00016543427773285657, 'loss_cap': 0.002513178624212742}
{'epoch': 80, 'iter': 352, 'loss': 0.04499807208776474, 'loss_fs': 0.044559553265571594, 'loss_cls': 0.00041075595072470605, 'loss_cap': 0.0027764958795160055}
{'epoch': 81, 'iter': 352, 'loss': 0.06113133952021599, 'loss_fs': 0.05961456894874573, 'loss_cls': 0.0014909208985045552, 'loss_cap': 0.002585026901215315}
{'epoch': 82, 'iter': 352, 'loss': 0.05615555867552757, 'loss_fs': 0.046124476939439774, 'loss_cls': 0.009989028796553612, 'loss_cap': 0.004205362405627966}
{'epoch': 83, 'iter': 352, 'loss': 0.1172647550702095, 'loss_fs': 0.11714434623718262, 'loss_cls': 0.00010466147068655118, 'loss_cap': 0.0015750415623188019}
{'epoch': 84, 'iter': 352, 'loss': 0.08078379929065704, 'loss_fs': 0.08058363944292068, 'loss_cls': 0.00015109599917195737, 'loss_cap': 0.004905953537672758}
{'epoch': 85, 'iter': 352, 'loss': 0.07030370086431503, 'loss_fs': 0.06998661160469055, 'loss_cls': 9.503781620878726e-05, 'loss_cap': 0.022205259650945663}
{'epoch': 86, 'iter': 352, 'loss': 0.03380551561713219, 'loss_fs': 0.0337657555937767, 'loss_cls': 9.258539648726583e-06, 'loss_cap': 0.003050251631066203}
{'epoch': 87, 'iter': 352, 'loss': 0.04479871317744255, 'loss_fs': 0.04449337720870972, 'loss_cls': 0.00022344669559970498, 'loss_cap': 0.008188782259821892}
{'epoch': 88, 'iter': 352, 'loss': 0.014762024395167828, 'loss_fs': 0.014175072312355042, 'loss_cls': 0.0005627941573038697, 'loss_cap': 0.002415735274553299}
{'epoch': 89, 'iter': 352, 'loss': 0.07374340295791626, 'loss_fs': 0.07354044914245605, 'loss_cls': 2.9642200388479978e-05, 'loss_cap': 0.017330646514892578}
{'epoch': 90, 'iter': 352, 'loss': 0.0680839940905571, 'loss_fs': 0.06732341647148132, 'loss_cls': 0.0007462279172614217, 'loss_cap': 0.0014351260615512729}
{'epoch': 91, 'iter': 352, 'loss': 0.0841171070933342, 'loss_fs': 0.08241352438926697, 'loss_cls': 0.0016527080442756414, 'loss_cap': 0.0050874268636107445}
{'epoch': 92, 'iter': 352, 'loss': 0.02282039262354374, 'loss_fs': 0.02278243750333786, 'loss_cls': 6.318069608823862e-06, 'loss_cap': 0.0031637009233236313}
{'epoch': 93, 'iter': 352, 'loss': 0.02880692295730114, 'loss_fs': 0.025048283860087395, 'loss_cls': 0.0037256875075399876, 'loss_cap': 0.003295241855084896}
{'epoch': 94, 'iter': 352, 'loss': 0.050938498228788376, 'loss_fs': 0.05050234869122505, 'loss_cls': 0.000411300512496382, 'loss_cap': 0.002484660129994154}
{'epoch': 95, 'iter': 352, 'loss': 0.021894799545407295, 'loss_fs': 0.021605893969535828, 'loss_cls': 0.00026929593877866864, 'loss_cap': 0.001961048925295472}
{'epoch': 96, 'iter': 352, 'loss': 0.06882724165916443, 'loss_fs': 0.06785058975219727, 'loss_cls': 0.0009480335284024477, 'loss_cap': 0.0028621391393244267}
{'epoch': 97, 'iter': 352, 'loss': 0.03625152260065079, 'loss_fs': 0.03621372580528259, 'loss_cls': 1.1881094906129874e-05, 'loss_cap': 0.0025916784070432186}
{'epoch': 98, 'iter': 352, 'loss': 0.06764275580644608, 'loss_fs': 0.06559791415929794, 'loss_cls': 0.0020317549351602793, 'loss_cap': 0.0013079873751848936}
{'epoch': 99, 'iter': 352, 'loss': 0.09125815331935883, 'loss_fs': 0.09124519675970078, 'loss_cls': 1.9470824099698802e-06, 'loss_cap': 0.0011008917354047298}
{'epoch': 100, 'iter': 352, 'loss': 0.03311595693230629, 'loss_fs': 0.03310343250632286, 'loss_cls': 6.755190042895265e-07, 'loss_cap': 0.0011850695591419935}
{'epoch': 101, 'iter': 352, 'loss': 0.064163438975811, 'loss_fs': 0.06300955265760422, 'loss_cls': 0.0011432726169005036, 'loss_cap': 0.0010613524354994297}
{'epoch': 102, 'iter': 352, 'loss': 0.03200119733810425, 'loss_fs': 0.03196745365858078, 'loss_cls': 2.0384490198921412e-05, 'loss_cap': 0.0013360583689063787}
{'epoch': 103, 'iter': 352, 'loss': 0.07966674119234085, 'loss_fs': 0.07949294149875641, 'loss_cls': 0.00011181156878592446, 'loss_cap': 0.0061988248489797115}
{'epoch': 104, 'iter': 352, 'loss': 0.053006064146757126, 'loss_fs': 0.052981991320848465, 'loss_cls': 1.2397638784023002e-05, 'loss_cap': 0.0011676575522869825}
{'epoch': 105, 'iter': 352, 'loss': 0.019489187747240067, 'loss_fs': 0.019374482333660126, 'loss_cls': 8.550664642825723e-05, 'loss_cap': 0.002919898135587573}
{'epoch': 106, 'iter': 352, 'loss': 0.04917899891734123, 'loss_fs': 0.04901198670268059, 'loss_cls': 0.00014788712724111974, 'loss_cap': 0.0019126901170238853}
{'epoch': 107, 'iter': 352, 'loss': 0.1247183084487915, 'loss_fs': 0.12443173676729202, 'loss_cls': 0.0002730565320234746, 'loss_cap': 0.0013511832803487778}
{'epoch': 108, 'iter': 352, 'loss': 0.03216647356748581, 'loss_fs': 0.03201930224895477, 'loss_cls': 0.00012241752119734883, 'loss_cap': 0.0024756230413913727}
{'epoch': 109, 'iter': 352, 'loss': 0.04126596823334694, 'loss_fs': 0.04125179350376129, 'loss_cls': 2.066293063762714e-06, 'loss_cap': 0.0012108907103538513}
{'epoch': 110, 'iter': 352, 'loss': 0.00970387365669012, 'loss_fs': 0.00963006354868412, 'loss_cls': 3.576199014787562e-05, 'loss_cap': 0.0038048229180276394}
